year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
1950,BHS,83504.0,,0.0,0.0,0.055,,,0.25,,,2.993,,,0.658,,,,,,,,0.0,0.055,0.25,,,,5.072,0.055,,,,,,,,1.275,2.73,0.195,2.335,0.05,0.593,0.017,0.206,0.055,0.658,,,,0.0,0.001,0.002,,0.0,0.0,0.0,,,,0.001,0.0,,,,0.003,0.004,,0.001,0.0,0.0,0.0,0.0,0.228,0.107,,
1951,BHS,84604.0,,0.0,0.0,0.066,0.011,20.0,0.266,0.016,6.45,3.145,,,0.78,,,,,,,,0.0,0.121,0.516,,,,5.272,0.121,,,,,,,,1.411,2.908,0.2,2.365,0.052,0.61,0.018,0.208,0.066,0.78,,,,0.0,0.001,0.002,,0.0,0.0,0.0,,,,0.001,0.0,,,,0.003,0.004,,0.001,0.0,0.0,0.0,0.0,0.246,0.119,,
1952,BHS,86174.0,,0.0,0.0,0.077,0.011,16.667,0.285,0.019,7.105,3.307,,,0.893,,,,,,,,0.0,0.198,0.801,,,,5.48,0.198,,,,,,,,1.535,3.11,0.208,2.414,0.054,0.624,0.018,0.211,0.077,0.893,,,,0.0,0.001,0.002,,0.0,0.0,0.0,,,,0.001,0.001,,,,0.003,0.004,,0.001,0.0,0.0,0.0,0.0,0.268,0.132,,
1953,BHS,88252.0,,0.0,0.0,0.081,0.004,4.762,0.3,0.015,5.13,3.395,,,0.913,,,,,,,,0.0,0.278,1.101,,,,5.699,0.278,,,,,,,,1.564,3.187,0.219,2.481,0.056,0.635,0.019,0.213,0.081,0.913,,,,0.0,0.001,0.002,,0.0,0.0,0.0,,,,0.001,0.001,,,,0.003,0.004,,0.001,0.0,0.0,0.0,0.0,0.281,0.138,,
1954,BHS,90840.0,,0.0,0.0,0.084,0.004,4.545,0.316,0.017,5.638,3.484,,,0.928,,,,,,,,0.0,0.363,1.417,,,,5.931,0.363,,,,,,,,1.583,3.261,0.232,2.556,0.059,0.644,0.02,0.216,0.084,0.928,,,,0.0,0.001,0.002,,0.0,0.0,0.0,,,,0.001,0.001,,,,0.003,0.004,,0.001,0.0,0.0,0.0,0.0,0.296,0.144,,
1955,BHS,93933.0,,0.0,0.0,0.128,0.044,52.174,0.376,0.06,18.859,4.005,,,1.365,,,,,,,,0.0,0.491,1.793,,,,6.179,0.491,,,,,,,,2.026,3.677,0.248,2.64,0.061,0.654,0.02,0.217,0.128,1.365,,,,0.0,0.002,0.003,,0.0,0.0,0.0,,,,0.001,0.001,,,,0.003,0.006,,0.001,0.0,0.0,0.0,0.0,0.345,0.19,,
1956,BHS,97520.0,,0.0,0.0,0.139,0.011,8.571,0.403,0.027,7.217,4.136,,,1.428,,,,,,,,0.0,0.63,2.197,,,,6.443,0.63,,,,,,,,2.089,3.759,0.264,2.708,0.064,0.66,0.021,0.217,0.139,1.428,,,,0.0,0.002,0.003,,0.0,0.0,0.0,,,,0.001,0.002,,,,0.004,0.006,,0.001,0.0,0.0,0.0,0.0,0.367,0.204,,
1957,BHS,101549.0,,0.0,0.0,0.176,0.037,26.316,0.462,0.058,14.426,4.545,,,1.732,,,,,,,,0.0,0.806,2.658,,,,6.729,0.806,,,,,,,,2.395,4.118,0.286,2.813,0.068,0.667,0.022,0.216,0.176,1.732,,,,0.0,0.002,0.003,,0.0,0.0,0.0,,,,0.001,0.002,,,,0.004,0.007,,0.001,0.0,0.0,0.0,0.0,0.418,0.243,,
1958,BHS,106005.0,,0.0,0.0,0.18,0.004,2.083,0.483,0.022,4.66,4.557,,,1.694,,,,,,,,0.0,0.986,3.141,,,,7.032,0.986,,,,,,,,2.357,4.08,0.303,2.863,0.071,0.672,0.023,0.214,0.18,1.694,,,,0.0,0.002,0.003,,0.0,0.0,0.0,,,,0.001,0.002,,,,0.004,0.007,,0.001,0.0,0.0,0.0,0.0,0.432,0.25,,
1959,BHS,110929.0,,0.0,0.0,0.26,0.081,44.898,0.588,0.105,21.793,5.303,,,2.345,,,,,,,,0.0,1.246,3.729,,,,7.36,1.246,,,,,,,,3.012,4.778,0.328,2.958,0.076,0.681,0.023,0.211,0.26,2.345,,,,0.0,0.003,0.004,,0.0,0.0,0.0,,,,0.002,0.003,,,,0.004,0.009,,0.001,0.0,0.0,0.0,0.0,0.53,0.334,,
1960,BHS,116327.0,,0.0,0.0,0.41,0.15,57.746,0.68,0.092,15.658,5.849,,,3.528,,,,,,,,0.0,1.656,4.41,,,,7.63,1.656,,,,,,,,4.2,5.743,0.27,2.321,0.081,0.693,0.024,0.206,0.41,3.528,,,,0.0,0.004,0.004,,0.0,0.001,0.001,,,,0.002,0.003,,,,0.004,0.013,,0.001,0.0,0.0,0.0,0.0,0.668,0.489,,
1961,BHS,122209.0,,0.0,0.0,0.546,0.136,33.036,0.778,0.098,14.4,6.369,,,4.467,,,,,,,,0.0,2.202,5.188,,,,7.863,2.202,,,,,,,,5.143,6.44,0.232,1.902,0.084,0.685,0.024,0.195,0.546,4.467,,,,0.0,0.006,0.005,,0.0,0.001,0.001,,,,0.002,0.004,,,,0.003,0.016,,0.001,0.0,0.0,0.0,0.0,0.787,0.628,,
1962,BHS,128506.0,,0.0,0.0,0.725,0.18,32.886,0.992,0.214,27.481,7.722,,,5.645,,,,,,,,0.0,2.928,6.181,,,,8.13,2.928,,,,,,,,6.326,7.648,0.267,2.076,0.089,0.689,0.024,0.188,0.725,5.645,,,,0.0,0.007,0.006,,0.0,0.001,0.001,,,,0.002,0.005,,,,0.004,0.02,,0.001,0.0,0.0,0.0,0.0,0.983,0.813,,
1963,BHS,135099.0,,0.0,0.0,0.707,-0.018,-2.525,0.915,-0.078,-7.813,6.771,,,5.234,,,,,,,,0.0,3.635,7.095,,,,8.337,3.635,,,,,,,,5.916,7.107,0.208,1.537,0.093,0.69,0.025,0.182,0.707,5.234,,,,0.0,0.007,0.006,,0.0,0.001,0.001,,,,0.002,0.006,,,,0.003,0.019,,0.001,0.0,0.0,0.0,0.0,0.96,0.799,,
