year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
1950,SOM,2213140.0,,0.0,0.0,0.048,,,7.331,,,3.313,,,0.022,,,,,,,,0.0,0.048,7.331,,,,163.276,0.048,,,,,,,,0.398,7.448,7.284,3.291,9.021,4.076,5.303,2.396,0.048,0.022,,,,0.0,0.001,0.06,,0.0,0.0,0.001,,,,0.039,0.0,,,,0.117,0.003,,0.073,0.0,0.0,0.0,0.0,16.483,0.882,,
1951,SOM,2276684.0,,0.0,0.0,0.048,0.0,0.0,7.857,0.526,7.172,3.451,,,0.021,,,,,,,,0.0,0.095,15.189,,,,171.085,0.095,,,,,,,,0.396,7.37,7.81,3.43,9.171,4.028,5.264,2.312,0.048,0.021,,,,0.0,0.001,0.061,,0.0,0.0,0.002,,,,0.04,0.0,,,,0.119,0.003,,0.074,0.0,0.0,0.0,0.0,16.779,0.901,,
1952,SOM,2340258.0,,0.0,0.0,0.048,0.0,0.0,8.293,0.436,5.55,3.544,,,0.02,,,,,,,,0.0,0.143,23.482,,,,179.331,0.143,,,,,,,,0.391,7.183,8.246,3.523,9.317,3.981,5.128,2.191,0.048,0.02,,,,0.0,0.001,0.064,,0.0,0.0,0.003,,,,0.041,0.0,,,,0.127,0.003,,0.075,0.0,0.0,0.0,0.0,16.81,0.915,,
1953,SOM,2403574.0,,0.0,0.0,0.048,0.0,0.0,8.726,0.433,5.224,3.631,,,0.02,,,,,,,,0.0,0.191,32.208,,,,188.009,0.191,,,,,,,,0.386,6.997,8.679,3.611,9.464,3.938,4.919,2.046,0.048,0.02,,,,0.0,0.001,0.066,,0.0,0.0,0.005,,,,0.043,0.001,,,,0.132,0.002,,0.075,0.0,0.0,0.0,0.0,16.818,0.928,,
1954,SOM,2467314.0,,0.0,0.0,0.048,0.0,0.0,9.123,0.397,4.546,3.698,,,0.019,,,,,,,,0.0,0.238,41.331,,,,197.085,0.238,,,,,,,,0.381,6.795,9.075,3.678,9.615,3.897,4.66,1.889,0.048,0.019,,,,0.0,0.001,0.066,,0.0,0.0,0.006,,,,0.044,0.001,,,,0.13,0.002,,0.076,0.0,0.0,0.0,0.0,16.764,0.94,,
1955,SOM,2532252.0,,0.0,0.0,0.066,0.018,38.462,9.556,0.433,4.745,3.774,,,0.026,,,,,,,,0.0,0.304,50.887,,,,206.575,0.304,,,,,,,,0.384,6.6,9.49,3.748,9.77,3.858,4.378,1.729,0.066,0.026,,,,0.0,0.001,0.066,,0.0,0.0,0.007,,,,0.045,0.001,,,,0.133,0.003,,0.076,0.0,0.0,0.0,0.0,16.714,0.971,,
1956,SOM,2598374.0,,0.0,0.0,0.07,0.004,5.556,9.947,0.391,4.088,3.828,,,0.027,,,,,,,,0.0,0.374,60.834,,,,216.452,0.374,,,,,,,,0.38,6.423,9.877,3.801,9.929,3.821,4.095,1.576,0.07,0.027,,,,0.0,0.001,0.066,,0.0,0.0,0.008,,,,0.047,0.001,,,,0.137,0.003,,0.076,0.0,0.0,0.0,0.0,16.688,0.987,,
1957,SOM,2665714.0,,0.0,0.0,0.073,0.004,5.263,10.367,0.421,4.23,3.889,,,0.027,,,,,,,,0.0,0.447,71.201,,,,226.746,0.447,,,,,,,,0.376,6.264,10.294,3.862,10.092,3.786,3.837,1.44,0.073,0.027,,,,0.0,0.001,0.067,,0.0,0.0,0.01,,,,0.048,0.001,,,,0.141,0.003,,0.077,0.0,0.0,0.0,0.0,16.697,1.002,,
1958,SOM,2733407.0,,0.0,0.0,0.084,0.011,15.0,10.775,0.408,3.932,3.942,,,0.031,,,,,,,,0.0,0.531,81.977,,,,237.437,0.531,,,,,,,,0.375,6.11,10.691,3.911,10.26,3.754,3.629,1.327,0.084,0.031,,,,0.0,0.001,0.069,,0.0,0.0,0.011,,,,0.05,0.001,,,,0.149,0.003,,0.077,0.0,0.0,0.0,0.0,16.702,1.024,,
1959,SOM,2803092.0,,0.0,0.0,0.088,0.004,4.348,11.193,0.418,3.875,3.993,,,0.031,,,,,,,,0.0,0.619,93.169,,,,248.542,0.619,,,,,,,,0.37,6.003,11.105,3.962,10.432,3.722,3.493,1.246,0.088,0.031,,,,0.0,0.001,0.067,,0.0,0.0,0.012,,,,0.051,0.001,,,,0.143,0.003,,0.077,0.0,0.0,0.0,0.0,16.828,1.038,,
1960,SOM,2876333.0,,0.0,0.0,0.084,-0.004,-4.167,9.539,-1.654,-14.776,3.316,,,0.029,,,,,,,,0.0,0.703,102.708,,,,257.997,0.703,,,,,,,,0.363,5.627,9.455,3.287,10.608,3.688,3.456,1.201,0.084,0.029,,,,0.0,0.001,0.059,,0.0,0.0,0.013,,,,0.052,0.001,,,,0.141,0.003,,0.077,0.0,0.0,0.0,0.0,16.185,1.043,,
1961,SOM,2952057.0,,0.0,0.0,0.088,0.004,4.348,9.151,-0.388,-4.067,3.1,,,0.03,,,,,,,,0.0,0.791,111.859,,,,267.06,0.791,,,,,,,,0.356,5.459,9.063,3.07,10.332,3.5,3.751,1.271,0.088,0.03,,,,0.0,0.001,0.056,,0.0,0.0,0.014,,,,0.054,0.001,,,,0.133,0.003,,0.077,0.0,0.0,0.0,0.0,16.117,1.052,,
1962,SOM,3030095.0,,0.0,0.0,0.106,0.018,20.833,8.906,-0.245,-2.673,2.939,,,0.035,,,,,,,,0.0,0.898,120.766,,,,275.86,0.898,,,,,,,,0.355,5.504,8.8,2.904,10.719,3.538,3.86,1.274,0.106,0.035,,,,0.0,0.001,0.055,,0.0,0.0,0.015,,,,0.055,0.002,,,,0.139,0.003,,0.077,0.0,0.0,0.0,0.0,16.677,1.075,,
