year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
1950,SDN,6189916.0,,0.0,0.0,0.505,,,19.625,,,3.17,,,0.082,,,0.135,0.022,,,,0.0,0.505,19.625,0.135,0.0,0.0,377.692,0.371,,,,0.0,0.0,0.0,0.0,1.037,6.969,19.12,3.089,13.896,2.245,6.679,1.079,0.371,0.06,,,,0.0,0.009,0.162,0.003,0.0,0.0,0.003,0.0,0.0,0.0,0.09,0.001,,0.0,0.0,0.308,0.024,,0.145,0.0,0.0,0.001,0.0,43.141,6.418,,
1951,SDN,6376063.0,,0.0,0.0,0.664,0.158,31.333,21.929,2.304,11.741,3.439,,,0.104,,,0.149,0.023,,,,0.0,1.169,41.554,0.284,0.0,0.0,398.958,0.885,,,,0.0,0.0,0.0,0.0,1.041,6.998,21.266,3.335,14.058,2.205,6.635,1.041,0.514,0.081,,,,0.0,0.01,0.169,0.004,0.0,0.0,0.006,0.0,0.0,0.0,0.093,0.003,,0.0,0.0,0.324,0.03,,0.146,0.0,0.0,0.001,0.0,44.62,6.636,,
1952,SDN,6568611.0,,0.0,0.0,0.697,0.034,5.076,23.591,1.662,7.577,3.591,,,0.106,,,0.119,0.018,,,,0.0,1.866,65.145,0.403,0.0,0.0,421.851,1.464,,,,0.0,0.0,0.0,0.0,1.023,6.964,22.894,3.485,14.216,2.164,6.471,0.985,0.579,0.088,,,,0.0,0.011,0.182,0.003,0.0,0.001,0.01,0.0,0.0,0.0,0.097,0.005,,0.0,0.0,0.353,0.032,,0.146,0.0,0.0,0.001,0.0,45.742,6.723,,
1953,SDN,6765905.0,,0.0,0.0,0.765,0.067,9.662,25.414,1.823,7.727,3.756,,,0.113,,,0.17,0.025,,,,0.0,2.631,90.559,0.572,0.0,0.0,446.5,2.059,,,,0.0,0.0,0.0,0.0,1.01,6.916,24.649,3.643,14.371,2.124,6.218,0.919,0.595,0.088,,,,0.0,0.011,0.192,0.004,0.0,0.001,0.013,0.0,0.0,0.0,0.101,0.006,,0.0,0.0,0.374,0.031,,0.147,0.0,0.0,0.001,0.0,46.795,6.836,,
1954,SDN,6969640.0,,0.0,0.0,0.751,-0.013,-1.762,27.099,1.685,6.63,3.888,,,0.108,,,0.068,0.01,,,,0.0,3.382,117.658,0.64,0.0,0.0,472.848,2.742,,,,0.0,0.0,0.0,0.0,0.985,6.839,26.348,3.78,14.521,2.083,5.906,0.847,0.683,0.098,,,,0.0,0.011,0.197,0.002,0.0,0.001,0.017,0.0,0.0,0.0,0.105,0.008,,0.0,0.0,0.377,0.033,,0.147,0.0,0.0,0.001,0.0,47.662,6.863,,
1955,SDN,7181691.0,,0.033,0.005,0.852,0.101,13.427,28.323,1.225,4.519,3.944,,,0.119,,,0.122,0.017,,,,0.033,4.235,145.982,0.762,0.0,0.0,500.319,3.44,,,,0.0,0.0,0.0,0.0,0.974,6.745,27.471,3.825,14.666,2.042,5.563,0.775,0.698,0.097,,,,0.031,0.011,0.194,0.003,0.002,0.002,0.02,0.0,0.0,0.0,0.11,0.009,,0.0,0.0,0.386,0.03,,0.148,0.0,0.0,0.001,0.0,48.439,6.995,,
1956,SDN,7401595.0,,0.033,0.004,0.825,-0.027,-3.162,30.193,1.869,6.6,4.079,,,0.111,,,0.068,0.009,,,,0.066,5.06,176.174,0.83,0.0,0.0,529.687,4.164,,,,0.0,0.0,0.0,0.0,0.945,6.659,29.368,3.968,14.808,2.001,5.221,0.705,0.725,0.098,,,,0.028,0.01,0.199,0.001,0.004,0.002,0.024,0.0,0.0,0.0,0.114,0.01,,0.0,0.0,0.407,0.029,,0.148,0.0,0.0,0.001,0.0,49.287,6.993,,
1957,SDN,7629457.0,,0.029,0.004,1.061,0.236,28.581,31.792,1.599,5.296,4.167,,,0.139,,,0.081,0.011,,,,0.095,6.121,207.966,0.911,0.0,0.0,560.418,5.115,,,,0.0,0.0,0.0,0.0,0.95,6.594,30.731,4.028,14.945,1.959,4.909,0.643,0.95,0.125,,,,0.024,0.013,0.205,0.002,0.006,0.002,0.028,0.0,0.0,0.0,0.119,0.012,,0.0,0.0,0.42,0.036,,0.149,0.0,0.0,0.001,0.0,50.306,7.247,,
1958,SDN,7863037.0,,0.044,0.006,1.186,0.125,11.74,33.965,2.173,6.834,4.32,,,0.151,,,0.118,0.015,,,,0.139,7.306,241.931,1.029,0.0,0.0,593.197,6.139,,,,0.0,0.0,0.0,0.0,0.939,6.537,32.779,4.169,15.079,1.918,4.656,0.592,1.024,0.13,,,,0.034,0.014,0.218,0.002,0.008,0.003,0.032,0.0,0.0,0.0,0.124,0.013,,0.0,0.0,0.456,0.038,,0.149,0.0,0.0,0.001,0.0,51.402,7.382,,
1959,SDN,8106484.0,,0.051,0.006,1.256,0.071,5.964,35.571,1.606,4.73,4.388,,,0.155,,,0.078,0.01,,,,0.19,8.563,277.502,1.107,0.0,0.0,627.512,7.266,,,,0.0,0.0,0.0,0.0,0.92,6.467,34.315,4.233,15.208,1.876,4.494,0.554,1.127,0.139,,,,0.035,0.014,0.214,0.002,0.01,0.003,0.036,0.0,0.0,0.0,0.129,0.015,,0.0,0.0,0.443,0.039,,0.15,0.0,0.0,0.001,0.0,52.423,7.457,,
1960,SDN,8364493.0,,0.058,0.007,1.25,-0.007,-0.539,36.912,1.341,3.769,4.413,,,0.149,,,0.03,0.004,,,,0.249,9.812,314.414,1.137,0.0,0.0,663.174,8.427,,,,0.0,0.0,0.0,0.0,0.89,6.377,35.662,4.264,15.335,1.833,4.451,0.532,1.161,0.139,,,,0.037,0.013,0.229,0.001,0.012,0.003,0.04,0.0,0.0,0.0,0.135,0.016,,0.0,0.0,0.532,0.037,,0.151,0.0,0.0,0.001,0.0,53.345,7.446,,
1961,SDN,8634939.0,,0.04,0.005,1.273,0.024,1.896,28.209,-8.703,-23.579,3.267,,,0.147,,,0.041,0.005,,,,0.289,11.086,342.623,1.178,0.0,0.0,690.11,9.619,,,,0.0,0.0,0.0,0.0,0.864,5.783,26.935,3.119,15.581,1.804,5.154,0.597,1.192,0.138,,,,0.025,0.014,0.174,0.001,0.013,0.003,0.042,0.0,0.0,0.0,0.138,0.018,,0.0,0.0,0.395,0.036,,0.151,0.0,0.0,0.001,0.0,49.934,7.46,,
1962,SDN,8919032.0,,0.051,0.006,1.364,0.091,7.139,22.927,-5.281,-18.722,2.571,,,0.153,,,0.024,0.003,,,,0.34,12.45,365.55,1.201,0.0,0.0,711.673,10.908,,,,0.0,0.0,0.0,0.0,0.845,5.344,21.563,2.418,15.58,1.747,5.145,0.577,1.289,0.145,,,,0.029,0.014,0.143,0.0,0.014,0.004,0.044,0.0,0.0,0.0,0.141,0.019,,0.0,0.0,0.341,0.036,,0.151,0.0,0.0,0.001,0.0,47.661,7.536,,
1963,SDN,9218079.0,,0.059,0.006,1.543,0.179,13.086,20.332,-2.596,-11.321,2.206,,,0.167,,,0.047,0.005,,,,0.399,13.992,385.882,1.249,0.0,0.0,730.462,12.345,,,,0.0,0.0,0.0,0.0,0.835,5.189,18.789,2.038,16.308,1.769,5.539,0.601,1.437,0.156,,,,0.031,0.015,0.124,0.001,0.016,0.004,0.046,0.0,0.0,0.0,0.143,0.02,,0.0,0.0,0.305,0.038,,0.151,0.0,0.0,0.001,0.0,47.833,7.695,,
1964,SDN,9531108.0,,0.044,0.005,1.708,0.165,10.707,19.181,-1.151,-5.662,2.012,,,0.179,,,0.0,0.0,,,,0.443,15.7,405.063,1.249,0.0,0.0,747.935,14.009,,,,0.0,0.0,0.0,0.0,0.821,5.116,17.473,1.833,17.029,1.787,5.893,0.618,1.664,0.175,,,,0.021,0.016,0.115,0.0,0.016,0.005,0.047,0.0,0.0,0.0,0.145,0.021,,0.0,0.0,0.298,0.041,,0.152,0.0,0.0,0.001,0.0,48.759,7.826,,
1965,SDN,9858033.0,,0.04,0.004,2.23,0.522,30.578,18.912,-0.269,-1.401,1.918,,,0.226,,,0.017,0.002,,,,0.483,17.93,423.974,1.266,0.0,0.0,764.617,16.182,,,,0.0,0.0,0.0,0.0,0.84,4.973,16.682,1.692,16.965,1.721,5.909,0.599,2.173,0.22,,,,0.019,0.02,0.112,0.0,0.016,0.005,0.048,0.0,0.0,0.0,0.146,0.023,,0.0,0.0,0.297,0.049,,0.152,0.0,0.0,0.001,0.0,49.025,8.278,,
1966,SDN,10197582.0,,0.051,0.005,2.429,0.199,8.911,18.687,-0.225,-1.188,1.833,,,0.238,,,0.003,0.0,,,,0.534,20.359,442.662,1.269,0.0,0.0,780.875,18.556,,,,0.0,0.0,0.0,0.0,0.824,4.958,16.258,1.594,17.827,1.748,6.333,0.621,2.374,0.233,,,,0.022,0.02,0.109,0.0,0.017,0.005,0.049,0.0,0.0,0.0,0.148,0.025,,0.0,0.0,0.311,0.05,,0.153,0.0,0.0,0.001,0.0,50.562,8.398,,
1967,SDN,10550601.0,,0.066,0.006,2.927,0.499,20.526,17.981,-0.706,-3.779,1.704,,,0.277,,,0.003,0.0,,,,0.6,23.286,460.643,1.273,0.0,0.0,795.929,21.413,,,,0.0,0.0,0.0,0.0,0.839,4.939,15.054,1.427,18.825,1.784,6.876,0.652,2.858,0.271,,,,0.028,0.024,0.102,0.0,0.017,0.006,0.05,0.0,0.0,0.0,0.149,0.027,,0.0,0.0,0.279,0.056,,0.153,0.0,0.0,0.001,0.0,52.111,8.854,,
1968,SDN,10918005.0,,0.073,0.007,2.853,-0.074,-2.533,18.044,0.063,0.35,1.653,,,0.261,,,0.003,0.0,,,,0.674,26.139,478.687,1.276,0.0,0.0,811.12,24.19,,,,0.0,0.0,0.0,0.0,0.799,4.901,15.191,1.391,19.912,1.824,7.31,0.67,2.776,0.254,,,,0.029,0.022,0.099,0.0,0.018,0.007,0.051,0.0,0.0,0.0,0.151,0.028,,0.0,0.0,0.285,0.05,,0.155,0.0,0.0,0.001,0.0,53.512,8.725,,
1969,SDN,11298939.0,,0.084,0.007,3.844,0.99,34.714,18.372,0.328,1.819,1.626,,,0.34,,,0.003,0.0,,,,0.758,29.983,497.059,1.279,0.0,0.0,825.648,27.946,,,,0.0,0.0,0.0,0.0,0.854,4.763,14.529,1.286,19.567,1.732,7.264,0.643,3.756,0.332,,,,0.031,0.028,0.094,0.0,0.019,0.007,0.052,0.0,0.0,0.0,0.152,0.03,,0.0,0.0,0.249,0.063,,0.155,0.0,0.0,0.001,0.0,53.817,9.65,,
1970,SDN,11695767.0,,0.077,0.007,4.46,0.617,16.042,19.308,0.935,5.092,1.651,,,0.381,,,0.003,0.0,,,,0.835,34.443,516.366,1.283,0.0,0.0,840.496,32.325,,,,0.0,0.0,0.0,0.0,0.904,4.707,14.847,1.269,20.105,1.719,7.452,0.637,4.38,0.374,,,,0.027,0.03,0.094,0.0,0.02,0.008,0.053,0.0,0.0,0.0,0.153,0.033,,0.0,0.0,0.261,0.064,,0.156,0.0,0.0,0.001,0.0,55.056,10.575,,
1971,SDN,12105540.0,,0.095,0.008,4.578,0.118,2.641,19.329,0.022,0.112,1.597,,,0.378,,,0.003,0.0,,,,0.93,39.021,535.696,1.286,0.0,0.0,855.247,36.804,,,,0.0,0.0,0.0,0.0,0.891,4.584,14.751,1.219,20.473,1.691,7.531,0.622,4.479,0.37,,,,0.031,0.03,0.094,0.0,0.02,0.009,0.054,0.0,0.0,0.0,0.154,0.035,,0.0,0.0,0.288,0.062,,0.157,0.0,0.001,0.001,0.0,55.494,10.789,,
1972,SDN,12527860.0,,0.081,0.006,4.942,0.364,7.95,19.591,0.262,1.355,1.564,,,0.394,,,0.0,0.0,,,,1.011,43.963,555.287,1.286,0.0,0.0,869.896,41.665,,,,0.0,0.0,0.0,0.0,0.902,4.502,14.649,1.169,20.78,1.659,7.65,0.611,4.861,0.388,,,,0.025,0.03,0.091,0.0,0.021,0.01,0.055,0.0,0.0,0.0,0.155,0.037,,0.0,0.0,0.272,0.063,,0.158,0.0,0.001,0.001,0.0,56.399,11.299,,
1973,SDN,13049324.0,,0.103,0.008,4.986,0.044,0.884,16.397,-3.195,-16.306,1.257,,,0.382,,,0.003,0.0,,,,1.114,48.948,571.683,1.289,0.0,0.0,881.308,46.545,,,,0.0,0.0,0.0,0.0,0.882,4.362,11.411,0.874,22.088,1.693,8.335,0.639,4.879,0.374,,,,0.03,0.029,0.073,0.0,0.021,0.01,0.055,0.0,0.0,0.0,0.156,0.038,,0.0,0.0,0.218,0.059,,0.159,0.0,0.001,0.001,0.0,56.923,11.51,,
1974,SDN,13580729.0,,0.15,0.011,5.221,0.236,4.725,17.907,1.51,9.21,1.319,,,0.384,,,0.0,0.0,,,,1.264,54.169,589.59,1.289,0.0,0.0,893.993,51.616,,,,0.0,0.0,0.0,0.0,0.877,4.22,12.686,0.934,22.065,1.625,8.056,0.593,5.071,0.373,,,,0.044,0.031,0.081,0.0,0.023,0.011,0.056,0.0,0.0,0.0,0.157,0.04,,0.0,0.0,0.247,0.063,,0.16,0.0,0.001,0.001,0.0,57.305,11.913,,
