year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
1951,DMA,50464.0,55432000.0,0.0,0.0,0.004,,,-0.026,,,-0.518,-0.471,,0.073,0.066,,,,,,,0.0,0.004,-0.026,,,,4.409,0.004,,,,,,,,0.44,2.148,-0.03,-0.59,0.025,0.489,0.004,0.07,0.004,0.073,,,,0.0,0.0,-0.0,,0.0,0.0,-0.0,,,,0.001,0.0,,,,-0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.108,0.022,,
1952,DMA,50862.0,59413000.0,0.0,0.0,0.007,0.004,100.0,-0.01,0.016,-61.431,-0.198,-0.17,,0.144,0.123,,,,,,,0.0,0.011,-0.036,,,,4.391,0.011,,,,,,,,0.514,2.519,-0.017,-0.342,0.025,0.493,0.004,0.073,0.007,0.144,,,,0.0,0.0,-0.0,,0.0,0.0,-0.0,,,,0.001,0.0,,,,-0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.128,0.026,,
1953,DMA,51401.0,57942000.0,0.0,0.0,0.004,-0.004,-50.0,-0.014,-0.004,39.636,-0.274,-0.243,,0.071,0.063,,,,,,,0.0,0.015,-0.05,,,,4.373,0.015,,,,,,,,0.439,2.429,-0.018,-0.345,0.025,0.494,0.004,0.076,0.004,0.071,,,,0.0,0.0,-0.0,,0.0,0.0,-0.0,,,,0.001,0.0,,,,-0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.125,0.023,,
1954,DMA,52102.0,60390000.0,0.0,0.0,0.004,0.0,0.0,0.001,0.015,-104.167,0.011,0.01,,0.07,0.061,,,,,,,0.0,0.018,-0.05,,,,4.37,0.018,,,,,,,,0.435,2.632,-0.003,-0.059,0.026,0.492,0.004,0.079,0.004,0.07,,,,0.0,0.0,0.0,,0.0,0.0,-0.0,,,,0.001,0.0,,,,-0.0,0.0,,0.001,0.0,0.0,0.0,0.0,0.137,0.023,,
1955,DMA,52974.0,64410000.0,0.0,0.0,0.004,0.0,0.0,0.003,0.002,362.5,0.051,0.042,,0.069,0.057,,,,,,,0.0,0.022,-0.047,,,,4.369,0.022,,,,,,,,0.429,2.557,-0.001,-0.018,0.026,0.489,0.004,0.083,0.004,0.069,,,,0.0,0.0,0.0,,0.0,0.0,-0.0,,,,0.001,0.0,,,,-0.0,0.0,,0.001,0.0,0.0,0.0,0.0,0.135,0.023,,
1956,DMA,54006.0,69774000.0,0.0,0.0,0.004,0.0,0.0,0.013,0.011,389.189,0.246,0.19,,0.068,0.053,,,,,,,0.0,0.026,-0.034,,,,4.379,0.026,,,,,,,,0.422,2.625,0.01,0.178,0.026,0.485,0.005,0.086,0.004,0.068,,,,0.0,0.0,0.0,,0.0,0.0,-0.0,,,,0.001,0.0,,,,0.0,0.0,,0.001,0.0,0.0,0.0,0.0,0.142,0.023,,
1957,DMA,55214.0,71862000.0,0.0,0.0,0.004,0.0,0.0,0.019,0.006,46.133,0.351,0.27,,0.066,0.051,,,,,,,0.0,0.029,-0.014,,,,4.395,0.029,,,,,,,,0.414,2.622,0.016,0.285,0.026,0.479,0.005,0.089,0.004,0.066,,,,0.0,0.0,0.0,,0.0,0.0,-0.0,,,,0.001,0.0,,,,0.0,0.0,,0.001,0.0,0.0,0.0,0.0,0.145,0.023,,
1958,DMA,56605.0,74399000.0,0.0,0.0,0.007,0.004,100.0,0.025,0.006,30.813,0.448,0.341,,0.129,0.098,,,,,,,0.0,0.037,0.011,,,,4.413,0.037,,,,,,,,0.469,2.649,0.018,0.318,0.027,0.473,0.005,0.09,0.007,0.129,,,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,0.001,0.0,,,,0.0,0.0,,0.001,0.0,0.0,0.0,0.0,0.15,0.027,,
1959,DMA,58123.0,72334000.0,0.0,0.0,0.011,0.004,50.0,0.062,0.037,144.509,1.067,0.857,,0.189,0.152,,,,,,,0.0,0.048,0.073,,,,4.464,0.048,,,,,,,,0.521,2.821,0.051,0.877,0.027,0.466,0.005,0.092,0.011,0.189,,,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,0.001,0.0,,,,0.001,0.0,,0.001,0.0,0.0,0.0,0.0,0.164,0.03,,
1960,DMA,59385.0,74700000.0,0.0,0.0,0.011,0.0,0.0,0.016,-0.046,-73.877,0.273,0.217,,0.185,0.147,,,,,,,0.0,0.059,0.089,,,,4.469,0.059,,,,,,,,0.51,2.468,0.005,0.088,0.027,0.46,0.005,0.092,0.011,0.185,,,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,0.001,0.0,,,,0.0,0.0,,0.001,0.0,0.0,0.0,0.0,0.147,0.03,,
1961,DMA,60231.0,70560000.0,0.0,0.0,0.011,0.0,0.0,0.437,0.421,2599.774,7.259,6.197,,0.182,0.156,,,,,,,0.0,0.07,0.526,,,,4.895,0.07,,,,,,,,0.503,4.315,0.426,7.077,0.028,0.472,0.006,0.098,0.011,0.182,,,,0.0,0.0,0.003,,0.0,0.0,0.0,,,,0.001,0.0,,,,0.006,0.0,,0.001,0.0,0.0,0.0,0.0,0.26,0.03,,
1962,DMA,60968.0,81313000.0,0.0,0.0,0.011,0.0,0.0,0.144,-0.293,-67.1,2.359,1.769,,0.18,0.135,,,,,,,0.0,0.081,0.67,,,,5.028,0.081,,,,,,,,0.497,2.946,0.133,2.179,0.028,0.458,0.006,0.096,0.011,0.18,,,,0.0,0.0,0.001,,0.0,0.0,0.0,,,,0.001,0.0,,,,0.002,0.0,,0.001,0.0,0.0,0.0,0.0,0.18,0.03,,
1963,DMA,61759.0,85064000.0,0.0,0.0,0.015,0.004,33.333,0.08,-0.064,-44.727,1.287,0.935,,0.237,0.172,,,,,,,0.0,0.095,0.75,,,,5.093,0.095,,,,,,,,0.552,2.539,0.065,1.05,0.028,0.446,0.006,0.092,0.015,0.237,,,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,0.001,0.0,,,,0.001,0.0,,0.001,0.0,0.0,0.0,0.0,0.157,0.034,,
1964,DMA,62600.0,89397000.0,0.0,0.0,0.015,0.0,0.0,0.042,-0.038,-47.558,0.666,0.466,,0.234,0.164,,,,,,,0.0,0.11,0.791,,,,5.12,0.11,,,,,,,,0.548,2.147,0.027,0.432,0.027,0.438,0.006,0.09,0.015,0.234,,,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,0.001,0.0,,,,0.0,0.0,,0.001,0.0,0.0,0.0,0.0,0.134,0.034,,
