year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
1933,MDG,2989693.0,,0.004,0.001,0.004,,,73.832,,,24.696,,,0.001,,,,,,,,0.004,0.004,73.832,,,,1836.874,,,,,,,,,0.219,20.368,73.829,24.694,6.727,2.25,1.883,0.63,,,,,,0.015,0.0,0.853,,0.002,0.0,0.016,,,,0.561,,,,,1.394,,,0.295,0.0,0.001,0.001,0.0,60.895,0.656,,
1934,MDG,3031549.0,,0.007,0.002,0.007,0.004,100.028,72.752,-1.08,-1.463,23.998,,,0.002,,,,,,,,0.011,0.011,146.585,,,,1909.619,,,,,,,,,0.222,19.6,72.745,23.996,6.819,2.249,1.848,0.61,,,,,,0.025,0.0,0.809,,0.004,0.0,0.03,,,,0.574,,,,,1.363,,,0.298,0.0,0.001,0.001,0.0,59.418,0.672,,
1935,MDG,3073990.0,,0.004,0.001,0.004,-0.004,-50.007,70.788,-1.964,-2.7,23.028,,,0.001,,,,,,,,0.015,0.015,217.373,,,,1980.403,,,,,,,,,0.219,19.14,70.785,23.027,6.906,2.246,1.81,0.589,,,,,,0.011,0.0,0.778,,0.005,0.0,0.044,,,,0.586,,,,,1.345,,,0.302,0.0,0.001,0.001,0.0,58.836,0.675,,
1945,MDG,3603176.0,,0.0,0.0,0.007,,,199.547,,,55.381,,,0.002,,,0.007,0.002,,,,0.015,0.022,416.919,0.007,,0.0,3328.314,0.0,,,,,,0.0,0.0,0.232,39.503,199.539,55.379,9.115,2.53,4.662,1.294,0.0,0.0,,,,0.0,0.0,1.999,0.0,0.002,0.0,0.07,0.0,,0.0,0.846,0.0,,,0.0,3.505,0.0,,0.376,0.0,0.001,0.001,0.0,142.335,0.835,,
1947,MDG,3734058.0,,0.004,0.001,0.004,,,190.63,,,51.052,,,0.001,,,,,,,,0.018,0.025,607.549,,,,3712.387,,,,,,,,,0.23,37.662,190.626,51.051,9.599,2.571,6.361,1.703,,,,,,0.008,0.0,1.765,,0.003,0.0,0.099,,,,0.917,,,,,3.382,,,0.397,0.0,0.001,0.002,0.0,140.631,0.858,,
1948,MDG,3801271.0,,0.004,0.001,0.004,0.0,0.0,192.362,1.732,0.909,50.605,,,0.001,,,,,,,,0.022,0.029,799.911,,,,3904.746,,,,,,,,,0.23,37.758,192.359,50.604,9.851,2.592,7.038,1.851,,,,,,0.007,0.0,1.749,,0.003,0.0,0.128,,,,0.952,,,,,3.466,,,0.407,0.0,0.001,0.002,0.0,143.528,0.876,,
1949,MDG,3874476.0,,0.004,0.001,0.004,0.0,0.0,193.955,1.593,0.828,50.06,,,0.001,,,,,,,,0.025,0.033,993.866,,,,4098.697,,,,,,,,,0.231,37.699,193.951,50.059,10.107,2.609,7.506,1.937,,,,,,0.006,0.0,1.816,,0.003,0.0,0.156,,,,0.986,,,,,3.542,,,0.417,0.0,0.001,0.002,0.0,146.064,0.896,,
1950,MDG,3956075.0,7004582400.0,0.004,0.001,0.304,0.3,8267.694,134.699,-59.256,-30.552,34.049,19.23,,0.077,0.043,,0.161,0.041,,,,0.029,0.337,1128.565,0.169,,,4233.092,0.139,,,,,,,,0.315,30.858,134.395,33.972,10.398,2.628,7.696,1.945,0.139,0.035,,,,0.005,0.005,1.11,0.004,0.003,0.0,0.174,0.0,,,1.003,0.0,,,,2.165,0.009,,0.423,0.0,0.001,0.002,0.0,122.077,1.246,,
1951,MDG,4057204.0,7264858112.0,0.004,0.001,0.245,-0.059,-19.279,124.151,-10.548,-7.831,30.6,17.089,,0.06,0.034,,0.07,0.017,,,,0.033,0.582,1252.716,0.238,,,4356.998,0.311,,,,,,,,0.299,27.468,123.906,30.54,10.748,2.649,7.641,1.883,0.172,0.042,,,,0.005,0.004,0.959,0.002,0.003,0.0,0.189,0.0,,,1.017,0.001,,,,1.889,0.01,,0.427,0.0,0.001,0.002,0.0,111.445,1.213,,
1952,MDG,4160843.0,7530163712.0,0.0,0.0,0.308,0.062,25.388,115.639,-8.512,-6.856,27.792,15.357,,0.074,0.041,,0.11,0.026,,,,0.033,0.89,1368.355,0.348,,,4472.328,0.509,,,,,,,,0.313,24.758,115.331,27.718,11.114,2.671,7.444,1.789,0.198,0.048,,,,0.0,0.005,0.893,0.003,0.003,0.0,0.203,0.0,,,1.028,0.002,,,,1.78,0.011,,0.43,0.0,0.001,0.002,0.0,103.015,1.301,,
1953,MDG,4267536.0,7805707264.0,0.0,0.0,0.253,-0.055,-17.857,110.482,-5.156,-4.459,25.889,14.154,,0.059,0.032,,0.025,0.006,,,,0.033,1.143,1478.837,0.373,,,4582.558,0.737,,,,,,,,0.298,23.038,110.23,25.83,11.496,2.694,7.14,1.673,0.228,0.053,,,,0.0,0.004,0.834,0.001,0.003,0.0,0.215,0.0,,,1.038,0.002,,,,1.673,0.012,,0.432,0.0,0.002,0.002,0.0,98.314,1.273,,
1954,MDG,4377321.0,8091949056.0,0.0,0.0,0.289,0.037,14.493,114.632,4.15,3.756,26.188,14.166,,0.066,0.036,,0.044,0.01,,,,0.033,1.432,1593.469,0.417,,,4696.9,0.982,,,,,,,,0.305,23.162,114.342,26.122,11.892,2.717,6.766,1.546,0.245,0.056,,,,0.0,0.004,0.832,0.001,0.003,0.001,0.227,0.0,,,1.047,0.003,,,,1.638,0.012,,0.434,0.0,0.002,0.002,0.0,101.386,1.337,,
1955,MDG,4490119.0,8389455872.0,0.0,0.0,0.304,0.015,5.063,117.986,3.354,2.926,26.277,14.064,,0.068,0.036,,0.026,0.006,,,,0.033,1.736,1711.455,0.443,,,4814.582,1.26,,,,,,,,0.307,23.046,117.682,26.209,12.305,2.74,6.357,1.416,0.278,0.062,,,,0.0,0.004,0.81,0.001,0.002,0.001,0.239,0.0,,,1.056,0.003,,,,1.652,0.012,,0.436,0.0,0.002,0.002,0.0,103.48,1.379,,
1956,MDG,4606423.0,8698908672.0,0.0,0.0,0.319,0.015,4.819,120.084,2.098,1.778,26.069,13.804,,0.069,0.037,,0.011,0.002,,,,0.033,2.055,1831.539,0.454,,,4934.348,1.568,,,,,,,,0.309,22.909,119.765,26.0,12.734,2.764,5.948,1.291,0.308,0.067,,,,0.0,0.004,0.793,0.0,0.002,0.001,0.25,0.0,,,1.066,0.004,,,,1.659,0.012,,0.438,0.0,0.002,0.002,0.0,105.53,1.423,,
1957,MDG,4726637.0,9021302784.0,0.0,0.0,0.315,-0.004,-1.149,127.475,7.391,6.155,26.969,14.13,,0.067,0.035,,0.011,0.002,,,,0.033,2.37,1959.014,0.465,,,5061.507,1.872,,,,,,,,0.306,23.085,127.16,26.903,13.179,2.788,5.574,1.179,0.304,0.064,,,,0.0,0.004,0.822,0.0,0.002,0.001,0.262,0.0,,,1.076,0.004,,,,1.736,0.012,,0.439,0.0,0.002,0.002,0.0,109.116,1.448,,
1958,MDG,4850853.0,9356975104.0,0.0,0.0,0.374,0.059,18.605,130.194,2.719,2.133,26.839,13.914,,0.077,0.04,,0.029,0.006,,,,0.033,2.744,2089.208,0.495,,,5191.327,2.217,,,,,,,,0.317,23.296,129.82,26.762,13.643,2.813,5.272,1.087,0.344,0.071,,,,0.0,0.004,0.834,0.001,0.002,0.001,0.274,0.0,,,1.087,0.005,,,,1.805,0.013,,0.441,0.0,0.002,0.002,0.0,113.006,1.537,,
1959,MDG,4979096.0,9701159936.0,0.0,0.0,0.374,0.0,0.0,132.324,2.13,1.636,26.576,13.64,,0.075,0.039,,0.033,0.007,,,,0.033,3.118,2221.532,0.528,,,5323.277,2.558,,,,,,,,0.315,22.932,131.95,26.501,14.126,2.837,5.076,1.019,0.341,0.068,,,,0.0,0.004,0.797,0.001,0.002,0.001,0.285,0.0,,,1.097,0.005,,,,1.704,0.012,,0.442,0.0,0.002,0.002,0.0,114.179,1.568,,
1960,MDG,5111034.0,9828725760.0,0.0,0.0,0.399,0.026,6.863,136.633,4.31,3.257,26.733,13.901,,0.078,0.041,,0.048,0.009,,,,0.033,3.517,2358.165,0.575,,,5459.511,2.909,,,,,,,,0.318,22.885,136.234,26.655,14.628,2.862,5.022,0.983,0.352,0.069,,,,0.0,0.004,0.849,0.001,0.002,0.001,0.296,0.0,,,1.11,0.006,,,,2.032,0.011,,0.443,0.0,0.002,0.002,0.0,116.964,1.625,,
1961,MDG,5246163.0,10034249728.0,0.0,0.0,0.355,-0.044,-11.009,98.973,-37.661,-27.563,18.866,9.864,,0.068,0.035,,0.015,0.003,,,,0.033,3.873,2457.138,0.59,,,5558.129,3.25,,,,,,,,0.307,16.733,98.618,18.798,13.692,2.61,5.147,0.981,0.341,0.065,,,,0.0,0.004,0.61,0.0,0.001,0.001,0.303,0.0,,,1.114,0.006,,,,1.446,0.01,,0.442,0.0,0.002,0.002,0.0,87.785,1.61,,
1962,MDG,5384153.0,10265982976.0,0.007,0.001,0.396,0.04,11.324,76.057,-22.916,-23.154,14.126,7.409,,0.073,0.039,,0.015,0.003,,,,0.04,4.268,2533.195,0.604,,,5633.791,3.624,,,,,,,,0.312,13.006,75.661,14.053,14.457,2.685,5.392,1.001,0.374,0.069,,,,0.004,0.004,0.473,0.0,0.002,0.001,0.306,0.0,,,1.115,0.006,,,,1.195,0.01,,0.439,0.0,0.002,0.002,0.0,70.024,1.681,,
1963,MDG,5525189.0,10169563136.0,0.022,0.004,0.461,0.066,16.639,62.749,-13.308,-17.497,11.357,6.17,,0.084,0.045,,0.04,0.007,,,,0.062,4.73,2595.944,0.645,,,5696.078,4.023,,,,,,,,0.322,11.67,62.288,11.273,14.47,2.619,5.419,0.981,0.399,0.072,,,,0.012,0.004,0.382,0.001,0.002,0.001,0.307,0.0,,,1.114,0.006,,,,1.011,0.01,,0.435,0.0,0.002,0.002,0.0,64.482,1.779,,
1964,MDG,5669866.0,10573920256.0,0.022,0.004,0.483,0.022,4.763,56.394,-6.355,-10.127,9.946,5.333,,0.085,0.046,,0.033,0.006,,,,0.084,5.213,2652.339,0.678,,,5751.989,4.452,,,,,,,,0.323,11.029,55.911,9.861,14.548,2.566,5.45,0.961,0.428,0.076,,,,0.011,0.004,0.338,0.001,0.003,0.001,0.308,0.0,,,1.112,0.007,,,,0.954,0.01,,0.431,0.0,0.002,0.002,0.0,62.535,1.834,,
1965,MDG,5819116.0,10525386752.0,0.018,0.003,0.557,0.073,15.164,54.258,-2.136,-3.788,9.324,5.155,,0.096,0.053,,0.04,0.007,,,,0.102,5.77,2706.597,0.718,,,5805.69,4.95,,,,,,,,0.334,10.892,53.701,9.228,14.839,2.55,5.578,0.959,0.498,0.086,,,,0.008,0.005,0.32,0.001,0.003,0.002,0.308,0.0,,,1.111,0.007,,,,0.955,0.011,,0.427,0.0,0.002,0.002,0.0,63.382,1.942,,
1966,MDG,5974281.0,10744599552.0,0.025,0.004,0.579,0.022,3.938,49.181,-5.077,-9.357,8.232,4.577,,0.097,0.054,,0.04,0.007,,,,0.127,6.349,2755.778,0.758,,,5854.292,5.463,,,,,,,,0.335,10.383,48.602,8.135,16.225,2.716,5.984,1.002,0.513,0.086,,,,0.011,0.005,0.288,0.001,0.004,0.002,0.308,0.0,,,1.109,0.007,,,,0.931,0.011,,0.424,0.0,0.002,0.002,0.0,62.031,1.999,,
1967,MDG,6136494.0,11338855424.0,0.029,0.005,0.842,0.264,45.581,46.128,-3.053,-6.207,7.517,4.068,,0.137,0.074,,0.044,0.007,,,,0.156,7.191,2801.906,0.802,,,5899.578,6.232,,,,,,,,0.375,10.111,45.286,7.38,16.442,2.679,6.047,0.985,0.769,0.125,,,,0.012,0.007,0.262,0.001,0.005,0.002,0.307,0.0,,,1.106,0.008,,,,0.838,0.015,,0.42,0.0,0.002,0.003,0.0,62.047,2.301,,
