year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
1950,LKA,7811053.0,15043594240.0,0.0,0.0,1.627,,,25.653,,,3.284,1.705,,0.208,0.108,,0.995,0.127,,,,0.0,1.627,25.653,0.995,,,1221.883,0.632,,,,,,,,0.495,2.914,24.026,3.076,5.479,0.701,1.043,0.133,0.632,0.081,,,,0.0,0.027,0.211,0.026,0.0,0.001,0.004,0.001,,,0.29,0.002,,,,0.387,0.041,,0.124,0.0,0.0,0.001,0.0,22.76,3.868,,
1951,LKA,7956333.0,15983182848.0,0.033,0.004,1.546,-0.081,-4.971,23.8,-1.853,-7.224,2.991,1.489,,0.194,0.097,,0.641,0.081,,,,0.033,3.173,49.452,1.636,,,1244.137,1.504,,,,,,,,0.475,2.802,22.254,2.797,5.548,0.697,1.052,0.132,0.872,0.11,,,,0.043,0.024,0.184,0.016,0.003,0.001,0.007,0.001,,,0.29,0.005,,,,0.339,0.051,,0.124,0.0,0.0,0.001,0.0,22.297,3.783,,
1952,LKA,8111564.0,16718630912.0,0.029,0.004,1.938,0.392,25.362,23.268,-0.532,-2.234,2.868,1.392,,0.239,0.116,,1.002,0.124,,,,0.062,5.111,72.72,2.638,,,1265.467,2.411,,,,,,,,0.537,2.735,21.33,2.63,5.805,0.716,1.064,0.131,0.907,0.112,,,,0.036,0.03,0.18,0.025,0.006,0.002,0.011,0.001,,,0.291,0.008,,,,0.329,0.05,,0.125,0.0,0.0,0.001,0.0,22.183,4.353,,
1953,LKA,8275134.0,17044012032.0,0.033,0.004,2.066,0.128,6.616,24.104,0.836,3.592,2.913,1.414,,0.25,0.121,,1.033,0.125,,,,0.094,7.177,96.824,3.672,,,1287.504,3.411,,,,,,,,0.554,2.79,22.037,2.663,5.99,0.724,1.077,0.13,1.0,0.121,,,,0.037,0.031,0.182,0.025,0.008,0.003,0.014,0.002,,,0.292,0.01,,,,0.334,0.052,,0.125,0.0,0.0,0.001,0.0,23.087,4.582,,
1954,LKA,8445937.0,17496870912.0,0.04,0.005,1.784,-0.282,-13.657,23.442,-0.662,-2.744,2.776,1.34,,0.211,0.102,,0.769,0.091,,,,0.134,8.961,120.266,4.441,,,1309.162,4.386,,,,,,,,0.513,2.743,21.658,2.564,6.112,0.724,1.09,0.129,0.975,0.115,,,,0.041,0.026,0.17,0.019,0.011,0.003,0.017,0.002,,,0.292,0.012,,,,0.31,0.047,,0.125,0.0,0.0,0.001,0.0,23.163,4.33,,
1955,LKA,8623327.0,18526443520.0,0.036,0.004,1.663,-0.121,-6.776,25.172,1.73,7.379,2.919,1.359,,0.193,0.09,,0.508,0.059,,,,0.171,10.624,145.438,4.949,,,1332.671,5.504,,,,,,,,0.493,2.818,23.509,2.726,6.247,0.724,1.105,0.128,1.119,0.13,,,,0.034,0.022,0.173,0.012,0.013,0.004,0.02,0.002,,,0.292,0.015,,,,0.33,0.049,,0.126,0.0,0.0,0.001,0.0,24.298,4.247,,
1956,LKA,8807222.0,18645467136.0,0.044,0.005,1.418,-0.246,-14.764,25.552,0.38,1.512,2.901,1.37,,0.161,0.076,,0.396,0.045,,,,0.214,12.042,170.99,5.345,,,1356.806,6.483,,,,,,,,0.463,2.773,24.135,2.74,6.429,0.73,1.119,0.127,0.978,0.111,,,,0.037,0.018,0.169,0.009,0.015,0.004,0.023,0.002,,,0.293,0.016,,,,0.334,0.039,,0.126,0.0,0.0,0.001,0.0,24.422,4.079,,
1957,LKA,9001001.0,18914553856.0,0.025,0.003,2.319,0.901,63.592,28.995,3.442,13.471,3.221,1.533,,0.258,0.123,,0.752,0.084,,,,0.24,14.361,199.985,6.097,,,1383.481,8.024,,,,,,,,0.577,2.997,26.675,2.964,6.751,0.75,1.134,0.126,1.541,0.171,,,,0.021,0.028,0.187,0.016,0.015,0.005,0.027,0.003,,,0.294,0.019,,,,0.364,0.059,,0.127,0.0,0.0,0.001,0.0,26.979,5.19,,
1958,LKA,9208816.0,19470209024.0,0.04,0.004,1.949,-0.37,-15.962,29.327,0.333,1.148,3.185,1.506,,0.212,0.1,,0.472,0.051,,,,0.28,16.31,229.312,6.569,,,1410.859,9.461,,,,,,,,0.528,2.941,27.379,2.973,6.915,0.751,1.148,0.125,1.437,0.156,,,,0.031,0.023,0.188,0.01,0.016,0.006,0.03,0.003,,,0.295,0.021,,,,0.381,0.053,,0.127,0.0,0.0,0.001,0.0,27.085,4.866,,
1959,LKA,9430157.0,19741876224.0,0.047,0.005,2.055,0.106,5.449,23.489,-5.838,-19.907,2.491,1.19,,0.218,0.104,,0.47,0.05,,,,0.327,18.365,252.801,7.039,,,1432.293,10.999,,,,,,,,0.54,2.66,21.434,2.273,7.161,0.759,1.161,0.123,1.538,0.163,,,,0.033,0.023,0.142,0.009,0.018,0.006,0.032,0.003,,,0.295,0.023,,,,0.277,0.053,,0.127,0.0,0.0,0.001,0.0,25.086,5.096,,
1960,LKA,9661385.0,20461441024.0,0.044,0.005,2.257,0.202,9.807,17.935,-5.554,-23.644,1.856,0.877,,0.234,0.11,,0.689,0.071,,,,0.371,20.622,270.737,7.728,,,1447.972,12.523,,,,,,,,0.567,2.373,15.679,1.623,7.472,0.773,1.174,0.121,1.524,0.158,,,,0.028,0.024,0.111,0.013,0.018,0.007,0.034,0.003,,,0.294,0.024,,,,0.234,0.049,,0.127,0.0,0.0,0.001,0.0,22.925,5.48,,
1961,LKA,9899374.0,20890710016.0,0.04,0.004,2.334,0.077,3.411,15.446,-2.489,-13.879,1.56,0.739,,0.236,0.112,,0.374,0.038,,,,0.411,22.955,286.183,8.101,,,1461.085,14.443,,,,,,,,0.567,2.197,13.113,1.325,7.275,0.735,1.126,0.114,1.92,0.194,,,,0.024,0.025,0.095,0.008,0.019,0.007,0.035,0.003,,,0.293,0.026,,,,0.192,0.058,,0.127,0.0,0.0,0.001,0.0,21.751,5.608,,
1962,LKA,10143750.0,21631954944.0,0.044,0.004,2.561,0.227,9.733,121.155,105.709,684.371,11.944,5.601,,0.252,0.118,,0.377,0.037,,,,0.454,25.516,407.338,8.479,,,1579.679,16.583,,,,,,,,0.588,7.328,118.594,11.691,7.382,0.728,1.172,0.116,2.14,0.211,,,,0.025,0.026,0.754,0.008,0.019,0.008,0.049,0.003,,,0.313,0.028,,,,1.873,0.06,,0.131,0.0,0.0,0.001,0.0,74.333,5.969,,
1963,LKA,10395041.0,22093111296.0,0.036,0.003,2.532,-0.029,-1.142,82.003,-39.152,-32.315,7.889,3.712,,0.244,0.115,,0.388,0.037,,,,0.491,28.048,489.341,8.867,,,1659.151,18.69,,,,,,,,0.584,5.247,79.472,7.645,7.874,0.757,1.189,0.114,2.107,0.203,,,,0.02,0.025,0.499,0.008,0.019,0.008,0.058,0.003,,,0.325,0.03,,,,1.29,0.055,,0.133,0.0,0.0,0.001,0.0,54.544,6.075,,
1964,LKA,10653402.0,23134775296.0,0.036,0.003,2.271,-0.26,-10.276,65.454,-16.549,-20.181,6.144,2.829,,0.213,0.098,,0.469,0.044,,,,0.527,30.319,554.796,9.336,,,1722.334,20.456,,,,,,,,0.56,4.394,63.183,5.931,8.51,0.799,1.277,0.12,1.766,0.166,,,,0.018,0.021,0.392,0.009,0.019,0.009,0.064,0.004,,,0.333,0.031,,,,1.078,0.043,,0.135,0.0,0.0,0.001,0.0,46.815,5.97,,
1965,LKA,10916962.0,23850108928.0,0.044,0.004,2.656,0.385,16.935,53.363,-12.091,-18.472,4.888,2.237,5.105,0.243,0.111,0.254,0.37,0.034,,,,0.57,32.975,608.159,9.706,,,1773.041,22.698,,947.313,0.438,,,,,0.593,3.62,50.707,4.645,8.477,0.776,1.308,0.12,2.242,0.205,,,10.454,0.02,0.023,0.315,0.007,0.019,0.009,0.069,0.004,,,0.339,0.032,,,,0.901,0.051,,0.136,0.0,0.0,0.001,0.0,39.522,6.479,,
1966,LKA,11183927.0,23609036800.0,0.04,0.004,2.66,0.004,0.139,46.503,-6.861,-12.856,4.158,1.97,4.313,0.238,0.113,0.247,0.084,0.008,,,,0.61,35.635,654.662,9.791,,,1816.884,25.234,,954.108,0.457,,,,,0.587,3.245,43.843,3.92,8.332,0.745,1.276,0.114,2.535,0.227,,,10.781,0.017,0.022,0.272,0.002,0.019,0.01,0.073,0.004,,,0.344,0.033,,,,0.839,0.053,,0.136,0.0,0.001,0.001,0.0,36.287,6.562,,
1967,LKA,11457329.0,25750589440.0,0.094,0.008,2.945,0.285,10.728,47.533,1.031,2.216,4.149,1.846,4.303,0.257,0.114,0.267,0.37,0.032,,,,0.705,38.58,702.195,10.161,,,1861.473,27.714,,954.686,0.429,,,,,0.618,3.244,44.588,3.892,8.413,0.734,1.258,0.11,2.481,0.217,,,11.047,0.039,0.024,0.269,0.007,0.02,0.01,0.077,0.004,,,0.349,0.034,,,,0.826,0.049,,0.137,0.0,0.001,0.001,0.0,37.163,7.079,,
