year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
1950,LBR,918911.0,2596423936.0,0.0,0.0,0.048,,,15.521,,,16.891,5.978,,0.052,0.018,,,,,,,0.0,0.048,15.521,,,,723.325,0.048,,,,,,,,0.558,11.752,15.474,16.839,0.568,0.618,0.201,0.219,0.048,0.052,,,,0.0,0.001,0.128,,0.0,0.0,0.002,,,,0.171,0.0,,,,0.249,0.003,,0.062,0.0,0.0,0.0,0.0,10.799,0.512,,
1951,LBR,936414.0,2745650944.0,0.0,0.0,0.044,-0.004,-7.692,13.126,-2.395,-15.433,14.017,4.781,,0.047,0.016,,,,,,,0.0,0.092,28.648,,,,736.408,0.092,,,,,,,,0.54,10.992,13.082,13.97,0.569,0.608,0.201,0.214,0.044,0.047,,,,0.0,0.001,0.101,,0.0,0.0,0.004,,,,0.172,0.0,,,,0.199,0.003,,0.061,0.0,0.0,0.0,0.0,10.293,0.506,,
1952,LBR,954975.0,2828050944.0,0.0,0.0,0.055,0.011,25.0,9.45,-3.677,-28.009,9.895,3.341,,0.058,0.019,,,,,,,0.0,0.147,38.097,,,,745.802,0.147,,,,,,,,0.538,8.273,9.395,9.838,0.571,0.597,0.197,0.206,0.055,0.058,,,,0.0,0.001,0.073,,0.0,0.0,0.006,,,,0.171,0.0,,,,0.145,0.003,,0.061,0.0,0.0,0.0,0.0,7.9,0.514,,
1953,LBR,974392.0,2939300096.0,0.0,0.0,0.059,0.004,6.667,10.583,1.133,11.989,10.861,3.6,,0.06,0.02,,,,,,,0.0,0.205,48.68,,,,756.326,0.205,,,,,,,,0.529,8.707,10.524,10.8,0.573,0.588,0.191,0.196,0.059,0.06,,,,0.0,0.001,0.08,,0.0,0.0,0.007,,,,0.171,0.001,,,,0.16,0.003,,0.06,0.0,0.0,0.0,0.0,8.484,0.515,,
1954,LBR,994771.0,3104861952.0,0.0,0.0,0.103,0.044,75.0,8.581,-2.002,-18.917,8.626,2.764,,0.103,0.033,,,,,,,0.0,0.308,57.26,,,,764.804,0.308,,,,,,,,0.56,7.485,8.478,8.523,0.576,0.579,0.183,0.184,0.103,0.103,,,,0.0,0.002,0.062,,0.0,0.0,0.008,,,,0.17,0.001,,,,0.121,0.005,,0.06,0.0,0.0,0.0,0.0,7.446,0.558,,
1955,LBR,1016397.0,3205312000.0,0.0,0.0,0.059,-0.044,-42.857,7.324,-1.257,-14.644,7.206,2.285,,0.058,0.018,,,,,,,0.0,0.366,64.584,,,,772.07,0.366,,,,,,,,0.503,6.782,7.265,7.148,0.579,0.569,0.174,0.171,0.059,0.058,,,,0.0,0.001,0.05,,0.0,0.0,0.009,,,,0.169,0.001,,,,0.102,0.003,,0.059,0.0,0.0,0.0,0.0,6.893,0.512,,
1956,LBR,1039157.0,3326287872.0,0.0,0.0,0.048,-0.011,-18.75,9.651,2.327,31.771,9.287,2.901,,0.046,0.014,,,,,,,0.0,0.414,74.235,,,,781.673,0.414,,,,,,,,0.48,7.821,9.603,9.242,0.582,0.56,0.165,0.159,0.048,0.046,,,,0.0,0.001,0.064,,0.0,0.0,0.01,,,,0.169,0.001,,,,0.133,0.002,,0.058,0.0,0.0,0.0,0.0,8.127,0.499,,
1957,LBR,1062948.0,3452111872.0,0.0,0.0,0.084,0.037,76.923,10.084,0.433,4.491,9.487,2.921,,0.079,0.024,,,,,,,0.0,0.498,84.32,,,,791.673,0.498,,,,,,,,0.502,7.364,10.0,9.408,0.586,0.551,0.157,0.148,0.084,0.079,,,,0.0,0.001,0.065,,0.0,0.0,0.011,,,,0.168,0.001,,,,0.137,0.003,,0.058,0.0,0.0,0.0,0.0,7.828,0.534,,
1958,LBR,1087254.0,3548545024.0,0.0,0.0,0.161,0.077,91.304,7.951,-2.133,-21.154,7.313,2.241,,0.148,0.045,,,,,,,0.0,0.66,92.271,,,,799.463,0.66,,,,,,,,0.56,6.247,7.79,7.165,0.59,0.543,0.151,0.139,0.161,0.148,,,,0.0,0.002,0.051,,0.0,0.0,0.012,,,,0.167,0.001,,,,0.108,0.006,,0.057,0.0,0.0,0.0,0.0,6.792,0.609,,
1959,LBR,1112561.0,3757339904.0,0.0,0.0,0.143,-0.018,-11.364,7.153,-0.799,-10.044,6.429,1.904,,0.128,0.038,,,,,,,0.0,0.802,99.424,,,,806.473,0.802,,,,,,,,0.529,5.355,7.01,6.301,0.595,0.535,0.147,0.132,0.143,0.128,,,,0.0,0.002,0.043,,0.0,0.0,0.013,,,,0.166,0.002,,,,0.091,0.005,,0.056,0.0,0.0,0.0,0.0,5.958,0.589,,
1960,LBR,1139519.0,3876069888.0,0.0,0.0,0.165,0.022,15.385,4.831,-2.322,-32.465,4.239,1.246,,0.145,0.043,,,,,,,0.0,0.967,104.254,,,,811.139,0.967,,,,,,,,0.534,4.066,4.666,4.094,0.599,0.526,0.147,0.129,0.165,0.145,,,,0.0,0.002,0.03,,0.0,0.0,0.013,,,,0.165,0.002,,,,0.07,0.005,,0.055,0.0,0.0,0.0,0.0,4.633,0.609,,
1961,LBR,1167720.0,3967028992.0,0.0,0.0,0.161,-0.004,-2.222,4.412,-0.418,-8.658,3.779,1.112,,0.138,0.041,,,,,,,0.0,1.129,108.667,,,,815.39,1.129,,,,,,,,0.516,3.613,4.251,3.64,0.589,0.505,0.16,0.137,0.161,0.138,,,,0.0,0.002,0.027,,0.0,0.0,0.013,,,,0.163,0.002,,,,0.062,0.005,,0.054,0.0,0.0,0.0,0.0,4.219,0.602,,
1962,LBR,1197041.0,4020155904.0,0.0,0.0,0.253,0.092,56.818,3.864,-0.548,-12.422,3.228,0.961,,0.211,0.063,,,,,,,0.0,1.381,112.531,,,,819.001,1.381,,,,,,,,0.578,3.602,3.611,3.017,0.593,0.495,0.164,0.137,0.253,0.211,,,,0.0,0.003,0.024,,0.0,0.0,0.014,,,,0.162,0.002,,,,0.057,0.007,,0.053,0.0,0.0,0.0,0.0,4.312,0.692,,
1963,LBR,1227418.0,4116111872.0,0.0,0.0,0.355,0.103,40.58,3.155,-0.709,-18.359,2.57,0.766,,0.29,0.086,,,,,,,0.0,1.737,115.686,,,,821.8,1.737,,,,,,,,0.645,3.249,2.799,2.281,0.603,0.491,0.17,0.138,0.355,0.29,,,,0.0,0.003,0.019,,0.0,0.001,0.014,,,,0.161,0.003,,,,0.045,0.009,,0.052,0.0,0.0,0.0,0.0,3.988,0.792,,
1964,LBR,1258749.0,4326503936.0,0.0,0.0,0.484,0.128,36.082,3.086,-0.069,-2.176,2.452,0.713,,0.384,0.112,,,,,,,0.0,2.22,118.772,,,,824.403,2.22,,,,,,,,0.729,2.957,2.602,2.068,0.609,0.484,0.175,0.139,0.484,0.384,,,,0.0,0.004,0.018,,0.0,0.001,0.014,,,,0.159,0.003,,,,0.044,0.012,,0.051,0.0,0.0,0.0,0.0,3.723,0.918,,
1965,LBR,1291155.0,4399550976.0,0.0,0.0,0.557,0.073,15.152,2.622,-0.464,-15.05,2.03,0.596,,0.431,0.127,,,,,,,0.0,2.777,121.393,,,,826.468,2.777,,,,,,,,0.766,2.688,2.065,1.599,0.609,0.472,0.179,0.138,0.557,0.431,,,,0.0,0.005,0.015,,0.0,0.001,0.014,,,,0.158,0.004,,,,0.037,0.013,,0.05,0.0,0.0,0.0,0.0,3.471,0.989,,
1966,LBR,1324389.0,5234752000.0,0.0,0.0,0.612,0.055,9.868,2.792,0.17,6.49,2.108,0.533,,0.462,0.117,,,,,,,0.0,3.389,124.185,,,,828.648,3.389,,,,,,,,0.787,2.97,2.18,1.646,0.565,0.427,0.174,0.132,0.612,0.462,,,,0.0,0.005,0.016,,0.0,0.001,0.014,,,,0.157,0.004,,,,0.042,0.013,,0.05,0.0,0.0,0.0,0.0,3.934,1.042,,
1967,LBR,1358441.0,5203200000.0,0.0,0.0,0.612,0.0,0.0,2.572,-0.22,-7.877,1.893,0.494,,0.45,0.118,,,,,,,0.0,4.001,126.757,,,,830.608,4.001,,,,,,,,0.766,2.4,1.96,1.443,0.566,0.416,0.179,0.132,0.612,0.45,,,,0.0,0.005,0.015,,0.0,0.001,0.014,,,,0.156,0.005,,,,0.036,0.012,,0.049,0.0,0.0,0.0,0.0,3.26,1.041,,
1968,LBR,1393532.0,5451248128.0,0.025,0.018,0.883,0.271,44.277,2.966,0.394,15.315,2.128,0.544,,0.634,0.162,,,,,,,0.025,4.884,129.723,,,,832.691,4.858,,,,,,,,0.94,2.942,2.083,1.495,0.568,0.408,0.181,0.13,0.857,0.615,,,,0.01,0.007,0.016,,0.001,0.001,0.014,,,,0.155,0.006,,,,0.039,0.016,,0.048,0.0,0.0,0.0,0.0,4.1,1.31,,
