year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
1950,GNQ,226569.0,168167008.0,0.0,0.0,0.011,,,1.439,,,6.353,8.559,,0.049,0.065,,,,,,,0.0,0.011,1.439,,,,39.86,0.011,,,,,,,,0.309,6.671,1.428,6.304,0.062,0.274,0.014,0.062,0.011,0.049,,,,0.0,0.0,0.012,,0.0,0.0,0.0,,,,0.009,0.0,,,,0.023,0.001,,0.005,0.0,0.0,0.0,0.0,1.511,0.07,,
1951,GNQ,230627.0,176978000.0,0.0,0.0,0.011,0.0,0.0,3.913,2.474,171.861,16.967,22.111,,0.048,0.062,,,,,,,0.0,0.022,5.352,,,,43.762,0.022,,,,,,,,0.305,16.442,3.902,16.919,0.062,0.27,0.014,0.061,0.011,0.048,,,,0.0,0.0,0.03,,0.0,0.0,0.001,,,,0.01,0.0,,,,0.059,0.001,,0.006,0.0,0.0,0.0,0.0,3.792,0.07,,
1952,GNQ,234690.0,183364992.0,0.0,0.0,0.011,0.0,0.0,0.792,-3.121,-79.756,3.375,4.32,,0.047,0.06,,,,,,,0.0,0.033,6.145,,,,44.543,0.033,,,,,,,,0.3,3.731,0.781,3.328,0.062,0.266,0.014,0.059,0.011,0.047,,,,0.0,0.0,0.006,,0.0,0.0,0.001,,,,0.01,0.0,,,,0.012,0.001,,0.006,0.0,0.0,0.0,0.0,0.876,0.07,,
1953,GNQ,238805.0,190740000.0,0.0,0.0,0.011,0.0,0.0,0.338,-0.455,-57.391,1.413,1.77,,0.046,0.058,,,,,,,0.0,0.044,6.482,,,,44.869,0.044,,,,,,,,0.294,1.895,0.327,1.367,0.062,0.26,0.014,0.057,0.011,0.046,,,,0.0,0.0,0.003,,0.0,0.0,0.001,,,,0.01,0.0,,,,0.005,0.001,,0.006,0.0,0.0,0.0,0.0,0.452,0.07,,
1954,GNQ,242985.0,200923008.0,0.0,0.0,0.029,0.018,166.667,1.851,1.514,448.524,7.619,9.215,,0.121,0.146,,,,,,,0.0,0.073,8.334,,,,46.691,0.073,,,,,,,,0.374,7.763,1.822,7.499,0.064,0.265,0.013,0.054,0.029,0.121,,,,0.0,0.0,0.013,,0.0,0.0,0.001,,,,0.01,0.0,,,,0.026,0.001,,0.006,0.0,0.0,0.0,0.0,1.886,0.091,,
1955,GNQ,247227.0,206790000.0,0.0,0.0,0.037,0.007,25.0,2.231,0.379,20.497,9.024,10.788,,0.148,0.177,,,,,,,0.0,0.11,10.564,,,,48.886,0.11,,,,,,,,0.401,9.335,2.194,8.875,0.065,0.264,0.013,0.051,0.037,0.148,,,,0.0,0.0,0.015,,0.0,0.0,0.001,,,,0.011,0.0,,,,0.031,0.002,,0.006,0.0,0.0,0.0,0.0,2.308,0.099,,
1956,GNQ,251534.0,215260000.0,0.0,0.0,0.037,0.0,0.0,0.804,-1.427,-63.973,3.195,3.734,,0.146,0.17,,,,,,,0.0,0.147,11.368,,,,49.653,0.147,,,,,,,,0.393,3.366,0.767,3.05,0.065,0.259,0.012,0.048,0.037,0.146,,,,0.0,0.0,0.005,,0.0,0.0,0.002,,,,0.011,0.0,,,,0.011,0.001,,0.006,0.0,0.0,0.0,0.0,0.847,0.099,,
1957,GNQ,255929.0,223214000.0,0.0,0.0,0.033,-0.004,-10.0,0.031,-0.773,-96.171,0.12,0.138,,0.129,0.148,,,,,,,0.0,0.18,11.399,,,,49.651,0.18,,,,,,,,0.37,-0.012,-0.002,-0.009,0.064,0.252,0.011,0.045,0.033,0.129,,,,0.0,0.0,0.0,,0.0,0.0,0.002,,,,0.011,0.0,,,,-0.0,0.001,,0.006,0.0,0.0,0.0,0.0,-0.003,0.095,,
1958,GNQ,260397.0,230838000.0,0.0,0.0,0.048,0.015,44.444,1.937,1.907,6195.0,7.44,8.393,,0.183,0.206,,,,,,,0.0,0.227,13.336,,,,51.54,0.227,,,,,,,,0.428,5.815,1.89,7.257,0.067,0.255,0.011,0.043,0.048,0.183,,,,0.0,0.001,0.012,,0.0,0.0,0.002,,,,0.011,0.0,,,,0.026,0.002,,0.006,0.0,0.0,0.0,0.0,1.514,0.111,,
1959,GNQ,265004.0,243600000.0,0.0,0.0,0.048,0.0,0.0,2.692,0.755,38.948,10.159,11.051,,0.18,0.196,,,,,,,0.0,0.275,16.028,,,,54.185,0.275,,,,,,,,0.42,11.641,2.644,9.979,0.066,0.251,0.011,0.041,0.048,0.18,,,,0.0,0.001,0.016,,0.0,0.0,0.002,,,,0.011,0.001,,,,0.034,0.002,,0.006,0.0,0.0,0.0,0.0,3.085,0.111,,
1960,GNQ,269813.0,268644000.0,0.0,0.0,0.022,-0.026,-53.846,0.709,-1.983,-73.664,2.628,2.639,,0.081,0.082,,,,,,,0.0,0.297,16.737,,,,54.872,0.297,,,,,,,,0.304,4.88,0.687,2.546,0.063,0.232,0.011,0.04,0.022,0.081,,,,0.0,0.0,0.004,,0.0,0.0,0.002,,,,0.011,0.001,,,,0.01,0.001,,0.006,0.0,0.0,0.0,0.0,1.317,0.082,,
1961,GNQ,274906.0,295368000.0,0.0,0.0,0.022,0.0,0.0,0.21,-0.499,-70.413,0.763,0.71,,0.08,0.074,,,,,,,0.0,0.319,16.947,,,,55.06,0.319,,,,,,,,0.298,3.215,0.188,0.683,0.063,0.231,0.011,0.041,0.022,0.08,,,,0.0,0.0,0.001,,0.0,0.0,0.002,,,,0.011,0.001,,,,0.003,0.001,,0.006,0.0,0.0,0.0,0.0,0.884,0.082,,
1962,GNQ,280293.0,326190016.0,0.0,0.0,0.022,0.0,0.0,0.319,0.109,52.175,1.139,0.979,,0.078,0.067,,,,,,,0.0,0.341,17.266,,,,55.357,0.341,,,,,,,,0.291,3.696,0.297,1.06,0.063,0.224,0.012,0.041,0.022,0.078,,,,0.0,0.0,0.002,,0.0,0.0,0.002,,,,0.011,0.001,,,,0.005,0.001,,0.006,0.0,0.0,0.0,0.0,1.036,0.082,,
1963,GNQ,285973.0,371500000.0,0.0,0.0,0.026,0.004,16.667,-1.347,-1.666,-521.97,-4.71,-3.626,,0.09,0.069,,,,,,,0.0,0.366,15.919,,,,53.984,0.366,,,,,,,,0.3,-2.262,-1.373,-4.8,0.063,0.219,0.012,0.041,0.026,0.09,,,,0.0,0.0,-0.008,,0.0,0.0,0.002,,,,0.011,0.001,,,,-0.022,0.001,,0.005,0.0,0.0,0.0,0.0,-0.647,0.086,,
1964,GNQ,291955.0,425880000.0,0.0,0.0,0.026,0.0,0.0,3.077,4.424,-328.459,10.54,7.226,,0.088,0.06,,,,,,,0.0,0.392,18.997,,,,57.036,0.392,,,,,,,,0.293,12.911,3.052,10.452,0.062,0.213,0.012,0.04,0.026,0.088,,,,0.0,0.0,0.018,,0.0,0.0,0.002,,,,0.011,0.001,,,,0.052,0.001,,0.006,0.0,0.0,0.0,0.0,3.769,0.086,,
1965,GNQ,298248.0,480193984.0,0.0,0.0,0.029,0.004,14.286,0.293,-2.784,-90.466,0.984,0.611,,0.098,0.061,,,,,,,0.0,0.421,19.29,,,,57.3,0.421,,,,,,,,0.301,3.217,0.264,0.885,0.063,0.212,0.012,0.041,0.029,0.098,,,,0.0,0.0,0.002,,0.0,0.0,0.002,,,,0.011,0.001,,,,0.005,0.001,,0.006,0.0,0.0,0.0,0.0,0.96,0.09,,
1966,GNQ,304867.0,499968000.0,0.0,0.0,0.026,-0.004,-12.5,-2.46,-2.753,-938.354,-8.068,-4.919,,0.084,0.051,,,,,,,0.0,0.447,16.831,,,,54.815,0.447,,,,,,,,0.282,-6.146,-2.485,-8.152,0.063,0.207,0.01,0.032,0.026,0.084,,,,0.0,0.0,-0.014,,0.0,0.0,0.002,,,,0.01,0.001,,,,-0.048,0.001,,0.005,0.0,0.0,0.0,0.0,-1.874,0.086,,
1967,GNQ,311814.0,535080000.0,0.0,0.0,0.026,0.0,0.0,1.635,4.094,-166.461,5.242,3.055,,0.082,0.048,,,,,,,0.0,0.473,18.465,,,,56.424,0.473,,,,,,,,0.277,6.931,1.609,5.16,0.064,0.204,0.016,0.051,0.026,0.082,,,,0.0,0.0,0.009,,0.0,0.0,0.002,,,,0.011,0.001,,,,0.03,0.001,,0.005,0.0,0.0,0.0,0.0,2.161,0.086,,
1968,GNQ,318853.0,552825984.0,0.0,0.0,0.029,0.004,14.286,-0.467,-2.101,-128.557,-1.464,-0.844,,0.092,0.053,,,,,,,0.0,0.502,17.998,,,,55.928,0.502,,,,,,,,0.286,0.018,-0.496,-1.556,0.064,0.202,0.016,0.05,0.029,0.092,,,,0.0,0.0,-0.003,,0.0,0.0,0.002,,,,0.01,0.001,,,,-0.009,0.001,,0.005,0.0,0.0,0.0,0.0,0.006,0.091,,
