year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
1950,VCT,61686.0,,0.0,0.0,0.004,,,0.025,,,0.41,,,0.059,,,,,,,,0.0,0.004,0.025,,,,0.488,0.004,,,,,,,,0.447,1.527,0.022,0.35,0.033,0.54,0.004,0.069,0.004,0.059,,,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,0.0,0.0,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.094,0.028,,
1951,VCT,63370.0,,0.0,0.0,0.004,0.0,0.0,0.041,0.016,63.768,0.653,,,0.058,,,,,,,,0.0,0.007,0.067,,,,0.526,0.007,,,,,,,,0.438,1.605,0.038,0.596,0.034,0.531,0.004,0.07,0.004,0.058,,,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,0.0,0.0,,,,0.001,0.0,,0.0,0.0,0.0,0.0,0.0,0.102,0.028,,
1952,VCT,65206.0,,0.0,0.0,0.011,0.007,200.0,0.061,0.019,46.46,0.93,,,0.169,,,,,,,,0.0,0.018,0.127,,,,0.576,0.018,,,,,,,,0.54,1.773,0.05,0.761,0.034,0.522,0.005,0.071,0.011,0.169,,,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,0.0,0.0,,,,0.001,0.001,,0.0,0.0,0.0,0.0,0.0,0.116,0.035,,
1953,VCT,67183.0,,0.0,0.0,0.007,-0.004,-33.333,0.067,0.006,10.03,0.993,,,0.109,,,,,,,,0.0,0.026,0.194,,,,0.635,0.026,,,,,,,,0.468,1.74,0.059,0.884,0.034,0.509,0.005,0.073,0.007,0.109,,,,0.0,0.0,0.001,,0.0,0.0,0.0,,,,0.0,0.0,,,,0.001,0.0,,0.0,0.0,0.0,0.0,0.0,0.117,0.031,,
1954,VCT,69322.0,,0.0,0.0,0.007,0.0,0.0,0.075,0.008,12.191,1.08,,,0.106,,,,,,,,0.0,0.033,0.269,,,,0.703,0.033,,,,,,,,0.453,1.745,0.068,0.974,0.034,0.496,0.005,0.075,0.007,0.106,,,,0.0,0.0,0.001,,0.0,0.0,0.0,,,,0.0,0.0,,,,0.001,0.0,,0.0,0.0,0.0,0.0,0.0,0.121,0.031,,
1955,VCT,71631.0,,0.0,0.0,0.007,0.0,0.0,0.081,0.006,8.468,1.134,,,0.102,,,,,,,,0.0,0.04,0.35,,,,0.777,0.04,,,,,,,,0.436,1.724,0.074,1.031,0.035,0.482,0.005,0.077,0.007,0.102,,,,0.0,0.0,0.001,,0.0,0.0,0.0,,,,0.0,0.0,,,,0.001,0.0,,0.0,0.0,0.0,0.0,0.0,0.123,0.031,,
1956,VCT,74076.0,,0.0,0.0,0.007,0.0,0.0,0.085,0.004,4.829,1.149,,,0.099,,,,,,,,0.0,0.048,0.435,,,,0.854,0.048,,,,,,,,0.42,1.685,0.078,1.05,0.035,0.468,0.006,0.078,0.007,0.099,,,,0.0,0.0,0.001,,0.0,0.0,0.0,,,,0.0,0.0,,,,0.001,0.0,,0.0,0.0,0.0,0.0,0.0,0.125,0.031,,
1957,VCT,76638.0,,0.0,0.0,0.007,0.0,0.0,0.087,0.002,2.325,1.136,,,0.096,,,,,,,,0.0,0.055,0.522,,,,0.934,0.055,,,,,,,,0.403,1.63,0.08,1.041,0.035,0.454,0.006,0.08,0.007,0.096,,,,0.0,0.0,0.001,,0.0,0.0,0.0,,,,0.0,0.0,,,,0.001,0.0,,0.0,0.0,0.0,0.0,0.0,0.125,0.031,,
1958,VCT,79333.0,,0.0,0.0,0.011,0.004,50.0,0.09,0.003,2.987,1.131,,,0.139,,,,,,,,0.0,0.066,0.612,,,,1.013,0.066,,,,,,,,0.434,1.595,0.079,0.992,0.035,0.441,0.006,0.081,0.011,0.139,,,,0.0,0.0,0.001,,0.0,0.0,0.0,,,,0.0,0.0,,,,0.001,0.0,,0.0,0.0,0.0,0.0,0.0,0.127,0.034,,
1959,VCT,82169.0,,0.0,0.0,0.011,0.0,0.0,0.106,0.017,18.709,1.296,,,0.134,,,,,,,,0.0,0.077,0.718,,,,1.108,0.077,,,,,,,,0.417,1.562,0.095,1.162,0.035,0.427,0.007,0.081,0.011,0.134,,,,0.0,0.0,0.001,,0.0,0.0,0.0,,,,0.0,0.0,,,,0.001,0.0,,0.0,0.0,0.0,0.0,0.0,0.128,0.034,,
